Score,Type,Model,Classifier,Contrast_name,Balanced_accuracy
0.8125,train,svm_kernel_default,1,nBack_con_0002,0.7992424242424242
0.8,test,svm_kernel_default,1,nBack_con_0002,0.59375
0.925,train,svm_kernel_tuned,1,nBack_con_0002,0.9242424242424242
0.75,test,svm_kernel_tuned,1,nBack_con_0002,0.65625
0.7625,train,naive_bayes,1,nBack_con_0002,0.7588383838383839
0.2,test,naive_bayes,1,nBack_con_0002,0.5
1.0,train,decision_tree,1,nBack_con_0002,1.0
0.8,test,decision_tree,1,nBack_con_0002,0.5
1.0,train,rfc,1,nBack_con_0002,1.0
0.8,test,rfc,1,nBack_con_0002,0.5
0.8,train,logistic_regression,1,nBack_con_0002,0.7904040404040404
0.8,test,logistic_regression,1,nBack_con_0002,0.5
0.8375,train,svm_kernel_default,1,nBack_con_0002,0.8203324808184144
0.6,test,svm_kernel_default,1,nBack_con_0002,0.42857142857142855
0.9625,train,svm_kernel_tuned,1,nBack_con_0002,0.9635549872122762
0.65,test,svm_kernel_tuned,1,nBack_con_0002,0.4642857142857143
0.85,train,naive_bayes,1,nBack_con_0002,0.8465473145780051
0.3,test,naive_bayes,1,nBack_con_0002,0.5
1.0,train,decision_tree,1,nBack_con_0002,1.0
0.3,test,decision_tree,1,nBack_con_0002,0.5
1.0,train,rfc,1,nBack_con_0002,1.0
0.7,test,rfc,1,nBack_con_0002,0.5
0.8875,train,logistic_regression,1,nBack_con_0002,0.879156010230179
0.7,test,logistic_regression,1,nBack_con_0002,0.5
0.7625,train,svm_kernel_default,1,nBack_con_0002,0.6935483870967742
0.55,test,svm_kernel_default,1,nBack_con_0002,0.5
0.7125,train,svm_kernel_tuned,1,nBack_con_0002,0.6290322580645161
0.55,test,svm_kernel_tuned,1,nBack_con_0002,0.5
0.8125,train,naive_bayes,1,nBack_con_0002,0.7995391705069124
0.45,test,naive_bayes,1,nBack_con_0002,0.5
1.0,train,decision_tree,1,nBack_con_0002,1.0
0.45,test,decision_tree,1,nBack_con_0002,0.5
1.0,train,rfc,1,nBack_con_0002,1.0
0.55,test,rfc,1,nBack_con_0002,0.5
0.85,train,logistic_regression,1,nBack_con_0002,0.8064516129032258
0.55,test,logistic_regression,1,nBack_con_0002,0.5
0.8,train,svm_kernel_default,1,nBack_con_0002,0.7604166666666667
0.7,test,svm_kernel_default,1,nBack_con_0002,0.6458333333333333
0.9875,train,svm_kernel_tuned,1,nBack_con_0002,0.984375
0.55,test,svm_kernel_tuned,1,nBack_con_0002,0.5833333333333334
0.725,train,naive_bayes,1,nBack_con_0002,0.7291666666666667
0.4,test,naive_bayes,1,nBack_con_0002,0.5
1.0,train,decision_tree,1,nBack_con_0002,1.0
0.6,test,decision_tree,1,nBack_con_0002,0.5
1.0,train,rfc,1,nBack_con_0002,1.0
0.6,test,rfc,1,nBack_con_0002,0.5
0.85,train,logistic_regression,1,nBack_con_0002,0.8333333333333333
0.6,test,logistic_regression,1,nBack_con_0002,0.5
0.8375,train,svm_kernel_default,1,nBack_con_0002,0.7903225806451613
0.55,test,svm_kernel_default,1,nBack_con_0002,0.51010101010101
0.9125,train,svm_kernel_tuned,1,nBack_con_0002,0.8930217248189598
0.55,test,svm_kernel_tuned,1,nBack_con_0002,0.5
0.75,train,naive_bayes,1,nBack_con_0002,0.7485187623436471
0.45,test,naive_bayes,1,nBack_con_0002,0.5
1.0,train,decision_tree,1,nBack_con_0002,1.0
0.55,test,decision_tree,1,nBack_con_0002,0.5
1.0,train,rfc,1,nBack_con_0002,1.0
0.55,test,rfc,1,nBack_con_0002,0.5
0.8625,train,logistic_regression,1,nBack_con_0002,0.8344305464121132
0.55,test,logistic_regression,1,nBack_con_0002,0.5
0.825,train,svm_kernel_default,1,nBack_con_0002,0.7923920051579626
0.6,test,svm_kernel_default,1,nBack_con_0002,0.5934065934065934
0.8125,train,svm_kernel_tuned,1,nBack_con_0002,0.7817537072856222
0.7,test,svm_kernel_tuned,1,nBack_con_0002,0.5714285714285714
0.7625,train,naive_bayes,1,nBack_con_0002,0.7753062540296582
0.35,test,naive_bayes,1,nBack_con_0002,0.5
1.0,train,decision_tree,1,nBack_con_0002,1.0
0.65,test,decision_tree,1,nBack_con_0002,0.5
1.0,train,rfc,1,nBack_con_0002,1.0
0.65,test,rfc,1,nBack_con_0002,0.5
0.8625,train,logistic_regression,1,nBack_con_0002,0.8423597678916828
0.65,test,logistic_regression,1,nBack_con_0002,0.5
0.8,train,svm_kernel_default,1,nBack_con_0002,0.7800511508951407
0.85,test,svm_kernel_default,1,nBack_con_0002,0.8452380952380952
0.925,train,svm_kernel_tuned,1,nBack_con_0002,0.9271099744245523
0.5,test,svm_kernel_tuned,1,nBack_con_0002,0.5476190476190476
0.7125,train,naive_bayes,1,nBack_con_0002,0.7193094629156009
0.3,test,naive_bayes,1,nBack_con_0002,0.5
1.0,train,decision_tree,1,nBack_con_0002,1.0
0.7,test,decision_tree,1,nBack_con_0002,0.5
1.0,train,rfc,1,nBack_con_0002,1.0
0.7,test,rfc,1,nBack_con_0002,0.5
0.85,train,logistic_regression,1,nBack_con_0002,0.8465473145780051
0.7,test,logistic_regression,1,nBack_con_0002,0.5
0.7375,train,svm_kernel_default,1,nBack_con_0002,0.671875
0.6,test,svm_kernel_default,1,nBack_con_0002,0.5
0.6,train,svm_kernel_tuned,1,nBack_con_0002,0.5
0.6,test,svm_kernel_tuned,1,nBack_con_0002,0.5
0.7875,train,naive_bayes,1,nBack_con_0002,0.7708333333333333
0.4,test,naive_bayes,1,nBack_con_0002,0.5
1.0,train,decision_tree,1,nBack_con_0002,1.0
0.4,test,decision_tree,1,nBack_con_0002,0.5
1.0,train,rfc,1,nBack_con_0002,1.0
0.6,test,rfc,1,nBack_con_0002,0.5
0.85,train,logistic_regression,1,nBack_con_0002,0.828125
0.6,test,logistic_regression,1,nBack_con_0002,0.5
0.75,train,svm_kernel_default,1,nBack_con_0002,0.6875
0.6,test,svm_kernel_default,1,nBack_con_0002,0.5
0.85,train,svm_kernel_tuned,1,nBack_con_0002,0.8125
0.6,test,svm_kernel_tuned,1,nBack_con_0002,0.5
0.7375,train,naive_bayes,1,nBack_con_0002,0.7552083333333333
0.4,test,naive_bayes,1,nBack_con_0002,0.5
1.0,train,decision_tree,1,nBack_con_0002,1.0
0.4,test,decision_tree,1,nBack_con_0002,0.5
1.0,train,rfc,1,nBack_con_0002,1.0
0.6,test,rfc,1,nBack_con_0002,0.5
