feature,beta_f,beta_a,beta_g,pvalue_f,pvalue_a,pvalue_g,Contrast_name,Labels
Precentral_L,0.09639475302090603,-0.009696502318195615,0.3179529089855282,0.5065861811261947,0.33074020330329423,0.1594854898381095,nBack_con_0002,12
Precentral_R,-0.05893174005397327,-0.007884572693607823,0.28048615861485476,0.6847719475781944,0.43005746650996135,0.21503350484711026,nBack_con_0002,12
Frontal_Sup_L,0.03105271835341853,-0.008526990063224542,0.2936509964118237,0.8278821790748586,0.38597841514494813,0.1886363584506081,nBack_con_0002,12
Frontal_Sup_R,-0.1064519120839428,-0.008746524630577467,0.2984424603685961,0.4568407421945889,0.3743001330931893,0.18201605721920178,nBack_con_0002,12
Frontal_Sup_Orb_L,-0.08319230172818563,-0.008639819919757223,0.2961171451176659,0.56219435336315,0.3800889399611783,0.1851958871634728,nBack_con_0002,12
Frontal_Sup_Orb_R,0.09898359124966019,-0.00870733765295354,0.29764056212844153,0.49148741087146175,0.3763277671997044,0.18304803323372398,nBack_con_0002,12
Frontal_Mid_L,0.008501123501499055,-0.00861050832072238,0.29534397330294204,0.9524858651203455,0.38090262973968714,0.18576831738560529,nBack_con_0002,12
Frontal_Mid_R,0.02316191277842479,-0.008662553349005711,0.2964312059347346,0.8711890136776421,0.37823815495638513,0.18433523891579218,nBack_con_0002,12
Frontal_Mid_Orb_L,0.0326624511369915,-0.008500181458446094,0.2930921743247973,0.8197227349336391,0.3876986498745929,0.18960949753183498,nBack_con_0002,12
Frontal_Mid_Orb_R,-0.000941053110717619,-0.008617386990647537,0.2954806578863524,0.9947434038094467,0.38086259924602206,0.18580805539812162,nBack_con_0002,12
Frontal_Inf_Oper_L,0.23510988378395117,-0.010999662635232395,0.34624920531154474,0.11310725280828368,0.27163969549447065,0.12725397768487257,nBack_con_0002,12
Frontal_Inf_Oper_R,0.11963394621382543,-0.009480605264164398,0.31371127593793613,0.40626777431448535,0.3381926559880386,0.16281389342081898,nBack_con_0002,12
Frontal_Inf_Tri_L,0.14953172054997585,-0.009628483487238736,0.31689698408873057,0.3013861703628363,0.33091040712489195,0.15881189277733276,nBack_con_0002,12
Frontal_Inf_Tri_R,0.22315417016069022,-0.010045956292186423,0.3264228142382336,0.1270886901230997,0.31225919608904396,0.14820817117876264,nBack_con_0002,12
Frontal_Inf_Orb_L,-0.01423605900990417,-0.00861759126587734,0.29549173787035765,0.9205452169976547,0.38052030958222416,0.1855498924096487,nBack_con_0002,12
Frontal_Inf_Orb_R,0.016859230663999983,-0.008608613240893258,0.29530959475308693,0.9060092623678464,0.3810426053553305,0.18584378940657342,nBack_con_0002,12
